 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_167	0   right charge :	 -0.585
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_180	0   right charge :	   -0.4
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_180	0   right charge :	   -0.4
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_167	0   right charge :	 -0.585
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_146	0   right charge :	  0.115
 error   : [ DBC ] opls_145	0   right charge :	 -0.115
 error   : [ DBC ] opls_167	0   right charge :	 -0.585
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_180	0   right charge :	   -0.4
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_180	0   right charge :	   -0.4
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_182	0   right charge :	   0.14
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_185	0   right charge :	   0.03
 error   : [ DBC ] opls_167	0   right charge :	 -0.585

